symbol,direction,timeframe,outcome,ai_score,signal_quality,rsi,ema50,ema200,trend,wave_bias,price,ai_entry,ai_tp,ai_sl,exit_price,pnl_pct,created_at_readable,matched_rules,failed_rules
XAUTUSDT,LONG,5m,WIN,62,OKAY,40.5679259759,4509.9158104721,4491.9974875725,neutral,,4505.5,4505.5,4573.0825,4460.445,4547.61,0.93,2026-05-29 12:25:05,RSI neutral-niedrig (41)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.30%) – Ausschluss v2.0
TRXUSDT,SHORT,5m,LOSS,74,OKAY,63.8585477663,0.3433794181,0.3481174687,neutral,,0.3435,0.3435,0.3383475,0.34693500000000005,0.34693500000000005,-1,2026-05-29 12:55:04,"RSI neutral-hoch (64)|EMA bearish (EMA50<EMA200, Dist 1.3%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT",
TRXUSDT,SHORT,5m,WIN,83,GUT,77.7789877306,0.3436038871,0.3478579052,neutral,,0.345,0.345,0.339825,0.34845,0.3447,0.09,2026-05-29 13:32:38,"RSI extrem überkauft (78) – Setup A SHORT|EMA bearish (EMA50<EMA200, Dist 0.8%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|US-Open Session (13:30-16 UTC) – bevorzugte Zeit",
BTCUSDT,SHORT,5m,WIN,81,GUT,58.5815482932,65659.8177616056,66391.3454024777,neutral,,65774.78,65774.78,64788.158299999996,66432.5278,64788.158299999996,1.5,2026-06-03 21:50:04,"RSI neutral-hoch (59)|EMA bearish (EMA50<EMA200, Dist 0.9%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT",
XAUTUSDT,LONG,5m,WIN,75,GUT,38.0527254608,4445.6904667434,4438.4011036128,neutral,,4439,4439,4505.585,4394.61,4489.67,1.14,2026-06-04 07:35:08,RSI niedrig (38) – passt zu Setup A LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG|London-Open Session (07-10 UTC) – bevorzugte Zeit,Preis zu nah an EMA 200 (0.01%) – Ausschluss v2.0
TRXUSDT,SHORT,5m,WIN,79,GUT,68.6501288863,0.3288722625,0.3311764728,neutral,,0.3294,0.3294,0.32445900000000005,0.33269400000000005,0.327,0.73,2026-06-04 12:25:04,"RSI hoch (69) – passt zu Setup A SHORT|EMA bearish (EMA50<EMA200, Dist 0.5%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT",
SUIUSDT,SHORT,5m,WIN,79,GUT,67.7632719476,0.7740010711,0.7946535515,neutral,,0.788,0.788,0.77618,0.79588,0.7822,0.74,2026-06-04 12:35:05,"RSI hoch (68) – passt zu Setup A SHORT|EMA bearish (EMA50<EMA200, Dist 0.8%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT",
VIRTUALUSDT,SHORT,5m,LOSS,82,GUT,67.2420579305,0.6488051636,0.679848024,neutral,,0.6605,0.6605,0.6505925,0.667105,0.667105,-1,2026-06-04 12:35:06,"RSI hoch (67) – passt zu Setup A SHORT|EMA bearish (EMA50<EMA200, Dist 2.8%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT",
RENDERUSDT,SHORT,5m,LOSS,84,GUT,67.1158093502,1.8822068312,1.9972664663,neutral,,1.917,1.917,1.888245,1.93617,1.93617,-1,2026-06-04 12:35:06,"RSI hoch (67) – passt zu Setup A SHORT|EMA bearish (EMA50<EMA200, Dist 4.0%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT",
TRXUSDT,SHORT,5m,WIN,81,GUT,74.2558360739,0.3291202823,0.331088522,neutral,,0.3301,0.3301,0.3251485,0.333401,0.3271,0.91,2026-06-04 13:00:09,RSI überkauft (74) – Pullback günstig für SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT,Preis zu nah an EMA 200 (0.30%) – Ausschluss v2.0
